Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,type_season,season_year
194,Rui Hachimura,PF,25,LAL,68,39,26.9,5.3,9.9,0.537,1.4,3.4,0.422,3.9,6.5,0.597,0.609,1.5,2.0,0.739,0.9,3.5,4.3,1.2,0.6,0.4,0.7,1.5,13.6,regular,2023-2024
211,Jaxson Hayes,C,23,LAL,70,5,12.5,1.8,2.5,0.72,0.0,0.1,0.0,1.8,2.4,0.754,0.72,0.7,1.2,0.622,1.0,2.0,3.0,0.5,0.5,0.4,0.6,1.8,4.3,regular,2023-2024
220,D'Moi Hodge,SG,25,LAL,7,0,5.9,0.7,2.1,0.333,0.4,1.7,0.25,0.3,0.4,0.667,0.433,0.1,0.3,0.5,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0,regular,2023-2024
226,Jalen Hood-Schifino,SG,20,LAL,21,0,5.2,0.5,2.1,0.222,0.1,0.7,0.133,0.4,1.4,0.267,0.244,0.6,1.0,0.6,0.1,0.5,0.6,0.4,0.1,0.1,0.4,0.6,1.6,regular,2023-2024
250,LeBron James,PF,39,LAL,71,71,35.3,9.6,17.9,0.54,2.1,5.1,0.41,7.5,12.8,0.592,0.599,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7,regular,2023-2024
296,Maxwell Lewis,SF,21,LAL,34,0,3.0,0.1,0.6,0.19,0.0,0.3,0.111,0.1,0.4,0.25,0.214,0.1,0.1,0.667,0.1,0.1,0.1,0.2,0.1,0.0,0.3,0.1,0.3,regular,2023-2024
325,Skylar Mays,SG,26,LAL,17,0,4.5,0.6,1.2,0.476,0.1,0.3,0.4,0.5,0.9,0.5,0.524,0.0,0.0,0.0,0.1,0.3,0.4,0.6,0.4,0.1,0.1,0.4,1.3,regular,2023-2024
415,Taurean Prince,PF,29,LAL,78,49,27.0,3.2,7.3,0.442,1.8,4.6,0.396,1.4,2.8,0.519,0.566,0.6,0.9,0.735,0.3,2.7,2.9,1.5,0.7,0.4,0.9,1.9,8.9,regular,2023-2024
425,Austin Reaves,SG,25,LAL,82,57,32.1,5.6,11.5,0.486,1.9,5.1,0.367,3.7,6.3,0.583,0.568,2.8,3.3,0.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9,15.9,regular,2023-2024
426,Cam Reddish,SF,24,LAL,48,26,20.5,1.9,4.9,0.389,0.8,2.3,0.336,1.1,2.6,0.435,0.468,0.9,1.1,0.759,0.6,1.5,2.1,1.0,1.0,0.3,0.6,1.3,5.4,regular,2023-2024
442,D'Angelo Russell,PG,27,LAL,76,69,32.7,6.5,14.2,0.456,3.0,7.2,0.415,3.5,7.0,0.497,0.56,2.1,2.5,0.828,0.4,2.7,3.1,6.3,0.9,0.5,2.1,2.1,18.0,regular,2023-2024
