player_id,full_name,first_name,last_name
1630342,Trhae Mitchell,Trhae,Mitchell
1630596,Evan Mobley,Evan,Mobley
1630600,Isaiah Mobley,Isaiah,Mobley
1631320,Chima Moneke,Chima,Moneke
1628370,Malik Monk,Malik,Monk
1630541,Moses Moody,Moses,Moody
1629875,Xavier Moon,Xavier,Moon
1631111,Wendell Moore Jr.,Wendell,Moore Jr.
1629630,Ja Morant,Ja,Morant
202693,Markieff Morris,Markieff,Morris
1628420,Monte Morris,Monte,Morris
202694,Marcus Morris Sr.,Marcus,Morris Sr.
1628539,Mychal Mulder,Mychal,Mulder
1630530,Trey Murphy III,Trey,Murphy III
1627749,Dejounte Murray,Dejounte,Murray
1627750,Jamal Murray,Jamal,Murray
1631099,Keegan Murray,Keegan,Murray
203488,Mike Muscala,Mike,Muscala
1629004,Svi Mykhailiuk,Svi,Mykhailiuk
1626204,Larry Nance Jr.,Larry,Nance Jr.
1629614,Andrew Nembhard,Andrew,Nembhard
1630612,RJ Nembhard Jr.,RJ,Nembhard Jr.
1630174,Aaron Nesmith,Aaron,Nesmith
203526,Raul Neto,Raul,Neto
1627777,Georges Niang,Georges,Niang
1630227,Daishen Nix,Daishen,Nix
1630192,Zeke Nnaji,Zeke,Nnaji
203457,Nerlens Noel,Nerlens,Noel
1629669,Jaylen Nowell,Jaylen,Nowell
1628373,Frank Ntilikina,Frank,Ntilikina
1629134,Kendrick Nunn,Kendrick,Nunn
203994,Jusuf Nurkic,Jusuf,Nurkic
1628021,David Nwaba,David,Nwaba
1629670,Jordan Nwora,Jordan,Nwora
1626220,Royce O'Neale,Royce,O'Neale
1629643,Chuma Okeke,Chuma,Okeke
1629006,Josh Okogie,Josh,Okogie
1630168,Onyeka Okongwu,Onyeka,Okongwu
1630171,Isaac Okoro,Isaac,Okoro
1629644,KZ Okpala,KZ,Okpala
203506,Victor Oladipo,Victor,Oladipo
203482,Kelly Olynyk,Kelly,Olynyk
1630647,Eugene Omoruyi,Eugene,Omoruyi
1626224,Cedi Osman,Cedi,Osman
1626162,Kelly Oubre Jr.,Kelly,Oubre Jr.
1629672,Eric Paschall,Eric,Paschall
101108,Chris Paul,Chris,Paul
1626166,Cameron Payne,Cameron,Payne
1627780,Gary Payton II,Gary,Payton II
1630691,Jamorko Pickett,Jamorko,Pickett
1630321,Nate Pierre-Louis,Nate,Pierre-Louis
1629033,Theo Pinson,Theo,Pinson
1630590,Scotty Pippen Jr.,Scotty,Pippen Jr.
1631342,Daeqwon Plowden,Daeqwon,Plowden
203486,Mason Plumlee,Mason,Plumlee
1627751,Jakob Poeltl,Jakob,Poeltl
1630197,Aleksej Pokusevski,Aleksej,Pokusevski
1629673,Jordan Poole,Jordan,Poole
1629645,Kevin Porter Jr.,Kevin,Porter Jr.
1629008,Michael Porter Jr.,Michael,Porter Jr.
203490,Otto Porter Jr.,Otto,Porter Jr.
1626171,Bobby Portis,Bobby,Portis
204001,Kristaps Porzingis,Kristaps,Porzingis
203939,Dwight Powell,Dwight,Powell
1626181,Norman Powell,Norman,Powell
1630554,Jason Preston,Jason,Preston
1630563,Joshua Primo,Joshua,Primo
1627752,Taurean Prince,Taurean,Prince
1630202,Payton Pritchard,Payton,Pritchard
1629674,Neemias Queta,Neemias,Queta
1630193,Immanuel Quickley,Immanuel,Quickley
1631311,Lester Quinones,Lester,Quinones
1626184,Chasson Randle,Chasson,Randle
203944,Julius Randle,Julius,Randle
1630559,Austin Reaves,Austin,Reaves
1629629,Cam Reddish,Cam,Reddish
1628432,Davon Reed,Davon,Reed
1630194,Paul Reed,Paul,Reed
1629675,Naz Reid,Naz,Reid
1631197,Jared Rhoden,Jared,Rhoden
1630208,Nick Richards,Nick,Richards
1626196,Josh Richardson,Josh,Richardson
203085,Austin Rivers,Austin,Rivers
1629130,Duncan Robinson,Duncan,Robinson
1629010,Jerome Robinson,Jerome,Robinson
1629011,Mitchell Robinson,Mitchell,Robinson
1631115,Orlando Robinson,Orlando,Robinson
1630526,Jeremiah Robinson-Earl,Jeremiah,Robinson-Earl
1629676,Isaiah Roby,Isaiah,Roby
1631223,David Roddy,David,Roddy
1631157,Ryan Rollins,Ryan,Rollins
201565,Derrick Rose,Derrick,Rose
203082,Terrence Ross,Terrence,Ross
1626179,Terry Rozier,Terry,Rozier
201937,Ricky Rubio,Ricky,Rubio
1626156,D'Angelo Russell,D'Angelo,Russell
1630346,Matt Ryan,Matt,Ryan
1627734,Domantas Sabonis,Domantas,Sabonis
203967,Dario Saric,Dario,Saric
1630846,Olivier Sarr,Olivier,Sarr
1630648,Jordan Schakel,Jordan,Schakel
1629678,Admiral Schofield,Admiral,Schofield
203471,Dennis Schroder,Dennis,Schroder
1630206,Jay Scrubb,Jay,Scrubb
1631220,Dereon Seabron,Dereon,Seabron
1630578,Alperen Sengun,Alperen,Sengun
1629012,Collin Sexton,Collin,Sexton
1629013,Landry Shamet,Landry,Shamet
1630549,Day'Ron Sharpe,Day'Ron,Sharpe
1631101,Shaedon Sharpe,Shaedon,Sharpe
1627783,Pascal Siakam,Pascal,Siakam
1627732,Ben Simmons,Ben,Simmons
1630250,Marko Simonovic,Marko,Simonovic
1629014,Anfernee Simons,Anfernee,Simons
1631301,Jaylen Sims,Jaylen,Sims
1630579,Jericho Sims,Jericho,Sims
1629686,Deividas Sirvydis,Deividas,Sirvydis
1630606,Javonte Smart,Javonte,Smart
203935,Marcus Smart,Marcus,Smart
1630696,Dru Smith,Dru,Smith
202397,Ish Smith,Ish,Smith
1630188,Jalen Smith,Jalen,Smith
1628372,Dennis Smith Jr.,Dennis,Smith Jr.
1631095,Jabari Smith Jr.,Jabari,Smith Jr.
1630270,Xavier Sneed,Xavier,Sneed
1631110,Jeremy Sochan,Jeremy,Sochan
1630311,Pat Spencer,Pat,Spencer
1630531,Jaden Springer,Jaden,Springer
1630205,Lamar Stevens,Lamar,Stevens
1630597,DJ Stewart,DJ,Stewart
1630191,Isaiah Stewart,Isaiah,Stewart
1629622,Max Strus,Max,Strus
1630591,Jalen Suggs,Jalen,Suggs
1628410,Edmond Sumner,Edmond,Sumner
1631306,Cole Swider,Cole,Swider
1630256,Jae'Sean Tate,Jae'Sean,Tate
1628369,Jayson Tatum,Jayson,Tatum
1630678,Terry Taylor,Terry,Taylor
202066,Garrett Temple,Garrett,Temple
1631207,Dalen Terry,Dalen,Terry
1628464,Daniel Theis,Daniel,Theis
