game_date_est,game_sequence,game_id,team_id_home,team_abbreviation_home,team_city_name_home,team_nickname_home,team_wins_losses_home,pts_qtr1_home,pts_qtr2_home,pts_qtr3_home,pts_qtr4_home,pts_ot1_home,pts_ot2_home,pts_ot3_home,pts_ot4_home,pts_ot5_home,pts_ot6_home,pts_ot7_home,pts_ot8_home,pts_ot9_home,pts_ot10_home,pts_home,team_id_away,team_abbreviation_away,team_city_name_away,team_nickname_away,team_wins_losses_away,pts_qtr1_away,pts_qtr2_away,pts_qtr3_away,pts_qtr4_away,pts_ot1_away,pts_ot2_away,pts_ot3_away,pts_ot4_away,pts_ot5_away,pts_ot6_away,pts_ot7_away,pts_ot8_away,pts_ot9_away,pts_ot10_away,pts_away
2022-12-18 00:00:00,7.0,22200451,1610612764,WAS,Washington,Wizards,11-20,29.0,23.0,36.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1610612747,LAL,Los Angeles,Lakers,13-16,30.0,36.0,21.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
2022-12-21 00:00:00,10.0,22200475,1610612758,SAC,Sacramento,Kings,17-13,25.0,41.0,40.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1610612747,LAL,Los Angeles,Lakers,13-18,26.0,32.0,28.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
2022-12-23 00:00:00,14.0,22200492,1610612766,CHA,Charlotte,Hornets,9-24,27.0,40.0,30.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1610612747,LAL,Los Angeles,Lakers,13-19,31.0,36.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
2022-12-25 00:00:00,2.0,22200494,1610612747,LAL,Los Angeles,Lakers,13-20,28.0,26.0,21.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1610612742,DAL,Dallas,Mavericks,18-16,21.0,22.0,51.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
2022-12-28 00:00:00,4.0,22200518,1610612748,MIA,Miami,Heat,18-17,33.0,28.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1610612747,LAL,Los Angeles,Lakers,14-21,25.0,27.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
2023-01-02 00:00:00,2.0,22200551,1610612747,LAL,Los Angeles,Lakers,16-21,22.0,38.0,34.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,1610612766,CHA,Charlotte,Hornets,10-28,21.0,24.0,31.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
2023-01-04 00:00:00,11.0,22200574,1610612747,LAL,Los Angeles,Lakers,17-21,32.0,20.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1610612748,MIA,Miami,Heat,20-19,23.0,25.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
2023-01-06 00:00:00,11.0,22200590,1610612737,ATL,Atlanta,Hawks,18-21,28.0,21.0,33.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,1610612747,LAL,Los Angeles,Lakers,18-21,37.0,33.0,28.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
2023-01-07 00:00:00,5.0,22200595,1610612758,SAC,Sacramento,Kings,20-18,38.0,35.0,36.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1610612747,LAL,Los Angeles,Lakers,19-21,37.0,36.0,36.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0
2023-01-09 00:00:00,5.0,22200609,1610612743,DEN,Denver,Nuggets,27-13,29.0,33.0,32.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,1610612747,LAL,Los Angeles,Lakers,19-22,23.0,25.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
2023-01-12 00:00:00,5.0,22200630,1610612742,DAL,Dallas,Mavericks,24-19,36.0,23.0,23.0,19.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,1610612747,LAL,Los Angeles,Lakers,19-23,22.0,26.0,28.0,25.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
2023-01-15 00:00:00,8.0,22200655,1610612747,LAL,Los Angeles,Lakers,19-24,32.0,26.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1610612755,PHI,Philadelphia,76ers,27-16,33.0,24.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
2023-01-16 00:00:00,9.0,22200664,1610612747,LAL,Los Angeles,Lakers,20-24,37.0,36.0,29.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,1610612745,HOU,Houston,Rockets,10-34,35.0,26.0,37.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
2023-01-22 00:00:00,7.0,22200705,1610612757,POR,Portland,Trail Blazers,21-25,26.0,45.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1610612747,LAL,Los Angeles,Lakers,22-25,33.0,13.0,40.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0
2023-01-24 00:00:00,7.0,22200719,1610612746,LAC,LA,Clippers,26-24,37.0,40.0,21.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1610612747,LAL,Los Angeles,Lakers,22-26,30.0,24.0,28.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
2023-01-25 00:00:00,10.0,22200729,1610612747,LAL,Los Angeles,Lakers,23-26,25.0,28.0,28.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1610612759,SAS,San Antonio,Spurs,14-34,30.0,24.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
2023-01-28 00:00:00,9.0,22200749,1610612747,LAL,Los Angeles,Lakers,23-27,27.0,27.0,27.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,1610612738,BOS,Boston,Celtics,36-15,28.0,20.0,33.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
