game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
12000018,0,1610612747,LAL,Los Angeles,42,16,19,28,0,1,0.0,13.0,12.0,8.0,1610612746,LAC,LA,46,15,12,0,0.0,11.0,6.0,16.0
42000151,0,1610612747,LAL,Los Angeles,44,10,9,5,5,5,0.0,14.0,15.0,12.0,1610612756,PHX,Phoenix,52,21,16,16,2.0,16.0,7.0,18.0
42000152,0,1610612747,LAL,Los Angeles,42,11,15,15,8,7,2.0,9.0,11.0,5.0,1610612756,PHX,Phoenix,40,9,4,4,0.0,13.0,7.0,21.0
42000153,0,1610612747,LAL,Los Angeles,58,20,13,21,9,8,0.0,20.0,10.0,24.0,1610612756,PHX,Phoenix,38,10,18,4,1.0,18.0,7.0,20.0
42000154,0,1610612747,LAL,Los Angeles,36,7,13,11,14,6,1.0,16.0,8.0,19.0,1610612756,PHX,Phoenix,44,8,16,18,0.0,10.0,1.0,12.0
42000155,0,1610612756,PHX,Phoenix,44,11,11,36,1,1,0.0,4.0,12.0,2.0,1610612747,LAL,Los Angeles,32,10,11,5,1.0,17.0,8.0,23.0
42000156,0,1610612756,PHX,Phoenix,26,6,13,29,0,0,2.0,14.0,5.0,12.0,1610612747,LAL,Los Angeles,56,27,12,0,0.0,7.0,10.0,11.0
22100002,0,1610612744,GSW,Golden State,46,10,10,12,7,5,0.0,17.0,9.0,19.0,1610612747,LAL,Los Angeles,34,6,20,10,1.0,18.0,13.0,20.0
22100025,0,1610612747,LAL,Los Angeles,26,11,5,7,6,4,0.0,16.0,8.0,15.0,1610612756,PHX,Phoenix,52,5,5,32,1.0,12.0,9.0,19.0
22100040,0,1610612763,MEM,Memphis,62,32,11,10,13,7,0.0,17.0,8.0,20.0,1610612747,LAL,Los Angeles,52,9,15,12,0.0,17.0,11.0,20.0
22100053,0,1610612759,SAS,San Antonio,64,15,29,12,24,8,1.0,16.0,5.0,14.0,1610612747,LAL,Los Angeles,72,12,16,8,0.0,13.0,10.0,17.0
22100061,0,1610612760,OKC,Oklahoma City,54,7,4,8,1,1,1.0,16.0,10.0,14.0,1610612747,LAL,Los Angeles,54,13,7,26,0.0,17.0,6.0,27.0
22100077,0,1610612747,LAL,Los Angeles,60,18,13,15,8,9,2.0,22.0,8.0,20.0,1610612739,CLE,Cleveland,44,17,12,11,0.0,15.0,10.0,20.0
22100107,0,1610612745,HOU,Houston,60,13,8,11,13,8,1.0,25.0,8.0,26.0,1610612747,LAL,Los Angeles,78,16,23,8,0.0,17.0,10.0,16.0
22100138,0,1610612757,POR,Portland,34,24,17,34,0,1,1.0,12.0,9.0,12.0,1610612747,LAL,Los Angeles,38,13,14,0,0.0,19.0,9.0,19.0
22100154,0,1610612766,CHA,Charlotte,56,11,24,8,24,13,0.0,18.0,4.0,33.0,1610612747,LAL,Los Angeles,48,7,21,14,0.0,15.0,8.0,6.0
22100170,0,1610612747,LAL,Los Angeles,38,6,10,8,33,14,1.0,23.0,10.0,20.0,1610612748,MIA,Miami,50,16,12,9,0.0,14.0,9.0,14.0
